cfg_adx_min,cfg_macd_hist_min,cfg_rsi_oversold,cfg_rsi_overbought,cfg_atr_regime_ratio,cfg_enable_momentum_entry,cfg_cooldown_bars,cfg_allow_overlap,cfg_allow_reverse,cfg_stop_loss_atr,cfg_trail_activation_atr,cfg_trail_distance_atr,cfg_dd_soft_pct,cfg_breakeven_atr,cfg_take_profit_atr,test_score,test_trades,test_wr,test_pf,test_sharpe,test_roi,test_dd,full_score,full_trades,full_wr,full_pf,full_sharpe,full_roi,full_dd,full_consec_losses
10.0,0.0,40,60,0.35,True,0,False,False,1.2,0.8,0.3,12.0,0.75,,133.4174391522393,698,61.60458452722063,1.629969381979227,3.745958884193048,40653.68148719994,21.900961543489768,182.8202762347786,1954,60.74718526100307,1.6248380356340069,3.879018855726592,2063760212.1066968,24.78558984645634,7
10.0,0.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,12.0,0.75,,133.4174391522393,698,61.60458452722063,1.629969381979227,3.745958884193048,40653.68148719994,21.900961543489768,182.8202762347786,1954,60.74718526100307,1.6248380356340069,3.879018855726592,2063760212.1066968,24.78558984645634,7
10.0,0.0,40,60,0.2,True,0,False,False,1.2,0.8,0.3,12.0,0.75,,133.4174391522393,698,61.60458452722063,1.629969381979227,3.745958884193048,40653.68148719994,21.900961543489768,182.8202762347786,1954,60.74718526100307,1.6248380356340069,3.879018855726592,2063760212.1066968,24.78558984645634,7
10.0,5.0,40,60,0.2,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.67913514900238,698,61.60458452722063,1.6330489534792427,3.6888503325200186,38666.61481741481,21.900961543489768,182.75961067373063,1953,60.72708653353814,1.6344033654804635,3.8596648831705633,2034088763.0353837,24.785591112483562,7
10.0,5.0,40,60,0.35,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.67913514900238,698,61.60458452722063,1.6330489534792427,3.6888503325200186,38666.61481741481,21.900961543489768,182.75961067373063,1953,60.72708653353814,1.6344033654804635,3.8596648831705633,2034088763.0353837,24.785591112483562,7
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.67913514900238,698,61.60458452722063,1.6330489534792427,3.6888503325200186,38666.61481741481,21.900961543489768,182.75961067373063,1953,60.72708653353814,1.6344033654804635,3.8596648831705633,2034088763.0353837,24.785591112483562,7
10.0,10.0,40,60,0.2,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.67913514900238,698,61.60458452722063,1.6330489534792427,3.6888503325200186,38666.61481741481,21.900961543489768,182.56076521479395,1950,60.71794871794872,1.6344050180763205,3.8505153290306215,1980698706.3086362,24.78561106426951,7
10.0,20.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.19684229786492,697,61.69296987087518,1.6358731073148336,3.608374600670425,41437.29221722648,21.900961543489768,182.1204790359188,1938,60.732714138286894,1.6345718703052599,3.8337210444852303,1849861669.1309261,24.785599756259153,7
10.0,20.0,40,60,0.35,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.19684229786492,697,61.69296987087518,1.6358731073148336,3.608374600670425,41437.29221722648,21.900961543489768,182.1204790359188,1938,60.732714138286894,1.6345718703052599,3.8337210444852303,1849861669.1309261,24.785599756259153,7
10.0,20.0,40,60,0.2,True,0,False,False,1.2,0.8,0.3,12.0,0.75,14.0,132.19684229786492,697,61.69296987087518,1.6358731073148336,3.608374600670425,41437.29221722648,21.900961543489768,182.1204790359188,1938,60.732714138286894,1.6345718703052599,3.8337210444852303,1849861669.1309261,24.785599756259153,7
