p_adx_min,p_macd_hist_min,p_rsi_oversold,p_rsi_overbought,p_atr_regime_ratio,p_enable_momentum_entry,p_cooldown_bars,p_allow_overlap,p_allow_reverse,p_stop_loss_atr,p_trail_activation_atr,p_trail_distance_atr,p_take_profit_atr,p_breakeven_atr,p_leverage,p_margin_pct,p_reduced_margin_pct,p_dd_soft_pct,p_dd_halt_pct,p_dd_resume_pct,trades,wr,pf,sharpe,roi,dd,consecL,halt_bars
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.15,0.075,12.0,20.0,12.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.15,0.075,12.0,15.0,8.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.05,0.025,12.0,20.0,12.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.05,0.025,12.0,15.0,8.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.05,0.025,8.0,100.0,100.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.05,0.025,8.0,20.0,12.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.05,0.025,8.0,15.0,8.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.05,0.025,12.0,100.0,100.0,569,58.17223198594025,1.6325217434745305,1.285343055762693,32.92383292628862,1.6744125670048342,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.1,0.05,8.0,100.0,100.0,650,58.46153846153847,1.648017330059428,1.5556408905729566,57.496743103417934,2.442681940837599,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.1,0.05,8.0,20.0,12.0,650,58.46153846153847,1.648017330059428,1.5556408905729566,57.496743103417934,2.442681940837599,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.1,0.05,12.0,20.0,12.0,650,58.46153846153847,1.648017330059428,1.5556408905729566,57.496743103417934,2.442681940837599,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.1,0.05,12.0,15.0,8.0,650,58.46153846153847,1.648017330059428,1.5556408905729566,57.496743103417934,2.442681940837599,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.1,0.05,8.0,15.0,8.0,650,58.46153846153847,1.648017330059428,1.5556408905729566,57.496743103417934,2.442681940837599,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.1,0.05,12.0,100.0,100.0,650,58.46153846153847,1.648017330059428,1.5556408905729566,57.496743103417934,2.442681940837599,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.25,0.125,12.0,20.0,12.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.25,0.125,12.0,15.0,8.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.25,0.125,8.0,100.0,100.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.25,0.125,8.0,20.0,12.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.25,0.125,8.0,15.0,8.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.25,0.125,12.0,100.0,100.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.05,0.025,8.0,100.0,100.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.05,0.025,8.0,20.0,12.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.05,0.025,12.0,20.0,12.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.05,0.025,12.0,15.0,8.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.05,0.025,8.0,15.0,8.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.05,0.025,12.0,100.0,100.0,721,58.252427184466015,1.677379630538392,1.7506034516435967,98.998172245456,3.2546446440453667,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.1,0.05,8.0,15.0,8.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.1,0.05,12.0,100.0,100.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.1,0.05,12.0,20.0,12.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.1,0.05,12.0,15.0,8.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.1,0.05,8.0,100.0,100.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.1,0.05,8.0,20.0,12.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.15,0.075,8.0,15.0,8.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.15,0.075,12.0,100.0,100.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.15,0.075,8.0,100.0,100.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.15,0.075,8.0,20.0,12.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.15,0.075,12.0,20.0,12.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.15,0.075,12.0,15.0,8.0,1081,59.481961147086025,1.8262103825735068,2.3967400515112827,289.6260093759018,4.174705850283027,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.05,0.025,8.0,100.0,100.0,1919,60.70870244919229,1.8783900249758174,4.290771200876888,2051.7612809660263,7.208913442061189,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.05,0.025,8.0,20.0,12.0,1919,60.70870244919229,1.8783900249758174,4.290771200876888,2051.7612809660263,7.208913442061189,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.05,0.025,8.0,15.0,8.0,1919,60.70870244919229,1.8783900249758174,4.290771200876888,2051.7612809660263,7.208913442061189,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.05,0.025,12.0,100.0,100.0,1919,60.70870244919229,1.8783900249758174,4.290771200876888,2051.7612809660263,7.208913442061189,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.05,0.025,12.0,15.0,8.0,1919,60.70870244919229,1.8783900249758174,4.290771200876888,2051.7612809660263,7.208913442061189,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.05,0.025,12.0,20.0,12.0,1919,60.70870244919229,1.8783900249758174,4.290771200876888,2051.7612809660263,7.208913442061189,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.25,0.125,8.0,100.0,100.0,1953,60.72708653353814,1.819519651240267,4.4288316346784695,17317.576622328143,9.57497952910569,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.25,0.125,8.0,20.0,12.0,1953,60.72708653353814,1.819519651240267,4.4288316346784695,17317.576622328143,9.57497952910569,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.1,0.05,8.0,15.0,8.0,1953,60.72708653353814,1.819519651240267,4.4288316346784695,17317.576622328143,9.57497952910569,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.1,0.05,8.0,100.0,100.0,1953,60.72708653353814,1.819519651240267,4.4288316346784695,17317.576622328143,9.57497952910569,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.1,0.05,8.0,20.0,12.0,1953,60.72708653353814,1.819519651240267,4.4288316346784695,17317.576622328143,9.57497952910569,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.25,0.125,8.0,15.0,8.0,1953,60.72708653353814,1.819519651240267,4.4288316346784695,17317.576622328143,9.57497952910569,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.15,0.075,8.0,20.0,12.0,1953,60.72708653353814,1.8249105012420166,4.332031097365843,8654.022014262959,9.617504375999413,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.15,0.075,8.0,15.0,8.0,1953,60.72708653353814,1.8249105012420166,4.332031097365843,8654.022014262959,9.617504375999413,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.15,0.075,8.0,100.0,100.0,1953,60.72708653353814,1.8249105012420166,4.332031097365843,8654.022014262959,9.617504375999413,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.15,0.075,12.0,100.0,100.0,1953,60.72708653353814,1.8357586124199003,4.394600685795825,8932.929186089284,9.7920711794986,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.15,0.075,12.0,20.0,12.0,1953,60.72708653353814,1.8357586124199003,4.394600685795825,8932.929186089284,9.7920711794986,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.15,0.075,12.0,15.0,8.0,1953,60.72708653353814,1.8357586124199003,4.394600685795825,8932.929186089284,9.7920711794986,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.25,0.125,12.0,15.0,8.0,1953,60.72708653353814,1.821104925928287,4.4405570245784896,17539.686895724757,10.964752027821001,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,2,0.25,0.125,12.0,100.0,100.0,1953,60.72708653353814,1.821104925928287,4.4405570245784896,17539.686895724757,10.964752027821001,7,0
